pop1	ecotype1	pop2	ecotype2	geography	ecology	intercept	recomb_rate	ds	gene_count	linear_model_warning	n_windows_dxy	n_windows_fst	group	reg1	reg2	geography2	group2
cs	marine	sk	marine	allo	S	-3.54951582997119	37346.8717269708	0.566933080596068	-0.0335912272996224	NA	1	431	allo_S	or	ns	allo	allo_S
cs	marine	sr	marine	allo	S	-2.77985064980694	31162.8064359395	0.0134809760434307	-0.0767766777650259	NA	1	465	allo_S	or	ns	allo	allo_S
cs	marine	sr	white	allo	D	-3.19098560360735	49055.8544270749	0.356744418595364	-0.0952194587871546	NA	3	551	allo_D	or	ns	allo	allo_D
cs	marine	stl	lake	allo	D	-1.80122879973505	16821.5260443375	-1.16653740030014	-0.0427449870119939	NA	1571	2883	allo_D	or	or	para	para_D
cs	marine	wc	stream	allo	D	-2.21316778328132	38579.5883110598	-0.857758445058859	-0.0515293534972938	NA	1677	2839	allo_D	or	or	para	para_D
denmark	marine	al	marine	allo	S	-2.02565927504601	11145.6378260721	-1.21162985897911	0.0260544104195541	NA	1351	2083	allo_S	ne	ns	allo	allo_S
denmark	marine	boot	lake	allo	D	-2.82834822779734	10184.159626402	-0.0218631028381198	-0.0358637910616584	NA	23	780	allo_D	ne	bc	allo	allo_D
denmark	marine	boot	stream	allo	D	-1.63633973807968	2979.31797609977	-1.38065544349459	-0.0134961536728679	NA	24	844	allo_D	ne	bc	allo	allo_D
denmark	marine	cl	marine	allo	S	-2.33255375143186	5890.13666394052	-0.995954083333441	0.0581996786598047	NA	888	1767	allo_S	ne	ns	allo	allo_S
denmark	marine	cl	white	allo	D	-2.076386624741	1959.65130875881	-1.20215103488864	0.047610617643409	NA	1385	2145	allo_D	ne	ns	allo	allo_D
denmark	marine	constance	lake	allo	D	-3.56197370907956	23264.8801448485	0.490790941682025	0.00626640326929846	NA	16	502	allo_D	ne	sl	allo	allo_D
